"sha256","bytes","relative_path"
"035A9662B43A1085B3E3EA396F6A57563DB142F4F00B47673837891DF7279D15","1364","03_results\first_pass_bcell_full\tables\composition\donor_cluster_fraction_summary_by_disease.csv"
"038468E05ABFD09398358A547A0C6A65CF5E8523BB2B21C75BF1E252723327B9","2217","04_submission\package_genome_medicine_2026-07-22\tables_supplementary\Supplementary_Table_S8_literature_signature_catalog.csv"
"038468E05ABFD09398358A547A0C6A65CF5E8523BB2B21C75BF1E252723327B9","2217","04_submission\package_working\tables_supplementary\Supplementary_Table_S8_literature_signature_catalog.csv"
"03863FDC841D5472B625F5833F7018DF0FE53207F627A28D866E623AA96E16F3","2416","_phase17_review_pack\20260806_120548\payload\03_results\figure5_literature_signature_validation\tables\abc_apc_vs_other_literature_signature_tests.csv"
"03863FDC841D5472B625F5833F7018DF0FE53207F627A28D866E623AA96E16F3","2416","_phase17_review_pack\20260806_120548\payload\04_submission\advisor_report_2026-07-31\selected_results\tables\abc_apc_vs_other_literature_signature_tests.csv"
"03863FDC841D5472B625F5833F7018DF0FE53207F627A28D866E623AA96E16F3","2416","03_results\figure5_literature_signature_validation\tables\abc_apc_vs_other_literature_signature_tests.csv"
"03863FDC841D5472B625F5833F7018DF0FE53207F627A28D866E623AA96E16F3","2416","04_submission\advisor_report_2026-07-31\selected_results\tables\abc_apc_vs_other_literature_signature_tests.csv"
"03863FDC841D5472B625F5833F7018DF0FE53207F627A28D866E623AA96E16F3","2416","04_submission\package_genome_medicine_2026-07-22\tables_supplementary\Supplementary_Table_S7_literature_signature_tests.csv"
"03B4D9CDEFD80DC9AE1269A8E4DC33C90B9696752D5DAE5EA168DE3113D81437","28339","phase17_v7\gateC6B\20260815_regulatory_evidence\03_IFN_TARGET_LEAVE_ONE_OUT.csv"
"03B4D9CDEFD80DC9AE1269A8E4DC33C90B9696752D5DAE5EA168DE3113D81437","28339","phase17_v7\gateC8S\20260821_supplementary_traceability_freeze\full_statistical_results\regulatory_and_orthogonal\03_IFN_TARGET_LEAVE_ONE_OUT.csv"
"04B96954FFC9C2137306CB244763A1BBCD0B596507DB4BEF0F2B6F0FAFBEB100","523356","04_submission\package_genome_medicine_gateC8B_editorial_preflight_2026-08-21\figures\Figure1_disease_blind_identity_scope.png"
"04B96954FFC9C2137306CB244763A1BBCD0B596507DB4BEF0F2B6F0FAFBEB100","523356","04_submission\package_genome_medicine_gateC8BR_release_portability_preflight_2026-08-25\figures\Figure1_disease_blind_identity_scope.png"
"04B96954FFC9C2137306CB244763A1BBCD0B596507DB4BEF0F2B6F0FAFBEB100","523356","04_submission\package_genome_medicine_gateC8S_2026-08-21\figures\Figure1_disease_blind_identity_scope.png"
"04B96954FFC9C2137306CB244763A1BBCD0B596507DB4BEF0F2B6F0FAFBEB100","523356","phase17_v7\gateC8B\20260821_editorial_literature_preflight\figures\Figure1_disease_blind_identity_scope.png"
"04B96954FFC9C2137306CB244763A1BBCD0B596507DB4BEF0F2B6F0FAFBEB100","523356","phase17_v7\gateC8BR\20260825_release_portability_preflight\figures\Figure1_disease_blind_identity_scope.png"
"04B96954FFC9C2137306CB244763A1BBCD0B596507DB4BEF0F2B6F0FAFBEB100","523356","phase17_v7\gateC8S\20260821_supplementary_traceability_freeze\figures\Figure1_disease_blind_identity_scope.png"
"05B3D8B05F5022558A3B2A0D8973A58F6BA9CD9193D452BDDD2D8C197EBA04B4","635997","04_submission\package_genome_medicine_gateC8BR_release_portability_preflight_2026-08-25\figures\Figure5_regulatory_evidence.png"
"05B3D8B05F5022558A3B2A0D8973A58F6BA9CD9193D452BDDD2D8C197EBA04B4","635997","04_submission\package_genome_medicine_gateC8BRP_journal_facing_prefreeze_2026-08-25\figures\Figure5_regulatory_evidence.png"
"05B3D8B05F5022558A3B2A0D8973A58F6BA9CD9193D452BDDD2D8C197EBA04B4","635997","phase17_v7\gateC8BR\20260825_release_portability_preflight\figures\Figure5_regulatory_evidence.png"
"05B3D8B05F5022558A3B2A0D8973A58F6BA9CD9193D452BDDD2D8C197EBA04B4","635997","phase17_v7\gateC8BRP\20260825_journal_facing_prefreeze\figures\Figure5_regulatory_evidence.png"
"05FA87C7538C3C8F316099A657F908C6DC406FAEF40A0E2354A8EF4ECB9AEE29","4604","_phase17_review_pack\20260806_120548\payload\03_results\figure5_literature_signature_validation\tables\literature_informed_signature_catalog.csv"
"05FA87C7538C3C8F316099A657F908C6DC406FAEF40A0E2354A8EF4ECB9AEE29","4604","_phase17_review_pack\20260806_120548\payload\04_submission\package_genome_medicine_2026-07-31\tables_supplementary\Supplementary_Table_S8_literature_signature_catalog.csv"
"05FA87C7538C3C8F316099A657F908C6DC406FAEF40A0E2354A8EF4ECB9AEE29","4604","03_results\figure5_literature_signature_validation\tables\literature_informed_signature_catalog.csv"
"05FA87C7538C3C8F316099A657F908C6DC406FAEF40A0E2354A8EF4ECB9AEE29","4604","04_submission\package_genome_medicine_2026-07-27\tables_supplementary\Supplementary_Table_S8_literature_signature_catalog.csv"
"05FA87C7538C3C8F316099A657F908C6DC406FAEF40A0E2354A8EF4ECB9AEE29","4604","04_submission\package_genome_medicine_2026-07-31\tables_supplementary\Supplementary_Table_S8_literature_signature_catalog.csv"
"064793D02D3D119E120132B8FB28D2075866C18A5DE39156A5A5A19DD1727288","637595","04_submission\package_genome_medicine_gateC8_2026-08-20\figures\Figure4_independent_ifn_replication.png"
"064793D02D3D119E120132B8FB28D2075866C18A5DE39156A5A5A19DD1727288","637595","phase17_v7\gateC7\20260820_manuscript_figure_integration\figures\Figure4_independent_ifn_replication.png"
"06655207C483175986ADF2BD231C30DF902A8F2ED78D4C286DA29C10D5085AF7","471529","04_submission\journal_submission_im\figures\Figure2_sample_level_composition.png"
"06655207C483175986ADF2BD231C30DF902A8F2ED78D4C286DA29C10D5085AF7","471529","04_submission\journal_submission\figures\Figure2_sample_level_composition.png"
"06655207C483175986ADF2BD231C30DF902A8F2ED78D4C286DA29C10D5085AF7","471529","04_submission\package_genome_medicine_gateC8BRF_author_release_2026-08-25\figures\Figure2_sample_level_composition.png"
"06655207C483175986ADF2BD231C30DF902A8F2ED78D4C286DA29C10D5085AF7","471529","phase17_v7\gateC8BRF\20260825_author_release\figures\Figure2_sample_level_composition.png"
"067FB37F195311EA3DC60CFF2486E389335EE3E3B32FBDCF5703F7D6E62BC65E","98810","04_submission\journal_submission_im\internal_qc\wps_render_supplement\final-page-06.png"
"067FB37F195311EA3DC60CFF2486E389335EE3E3B32FBDCF5703F7D6E62BC65E","98810","04_submission\package_genome_medicine_gateC8BRF_author_release_2026-08-25\internal_qc\wps_render_supplement\final-page-06.png"
"067FB37F195311EA3DC60CFF2486E389335EE3E3B32FBDCF5703F7D6E62BC65E","98810","04_submission\package_genome_medicine_gateC8BRP_journal_facing_prefreeze_2026-08-25\internal_qc\wps_render_supplement\final-page-06.png"
"0684F78CF1CF7F353FDEBACE0D9825971678E3B7400AB4FE424BCE038B636A9C","143872","_phase17_review_pack\20260806_120548\payload\03_results\first_pass_bcell_full\figures\figure2_v3_refined_bcell_state_atlas.pdf"
"0684F78CF1CF7F353FDEBACE0D9825971678E3B7400AB4FE424BCE038B636A9C","143872","_phase17_review_pack\20260806_120548\payload\04_submission\advisor_report_2026-07-31\selected_results\figures_main\Figure_2_refined_bcell_state_atlas.pdf"
"0684F78CF1CF7F353FDEBACE0D9825971678E3B7400AB4FE424BCE038B636A9C","143872","_phase17_review_pack\20260806_120548\payload\04_submission\package_genome_medicine_2026-07-31\figures_main\Figure_2_refined_bcell_state_atlas.pdf"
"0684F78CF1CF7F353FDEBACE0D9825971678E3B7400AB4FE424BCE038B636A9C","143872","03_results\first_pass_bcell_full\figures\figure2_v3_refined_bcell_state_atlas.pdf"
"0684F78CF1CF7F353FDEBACE0D9825971678E3B7400AB4FE424BCE038B636A9C","143872","04_submission\advisor_report_2026-07-31\selected_results\figures_main\Figure_2_refined_bcell_state_atlas.pdf"
"0684F78CF1CF7F353FDEBACE0D9825971678E3B7400AB4FE424BCE038B636A9C","143872","04_submission\package_genome_medicine_2026-07-27\figures_main\Figure_2_refined_bcell_state_atlas.pdf"
"0684F78CF1CF7F353FDEBACE0D9825971678E3B7400AB4FE424BCE038B636A9C","143872","04_submission\package_genome_medicine_2026-07-31\figures_main\Figure_2_refined_bcell_state_atlas.pdf"
"06893F70310C018EA5B4EC062CC68CFC75B2C2F2A4E9ADB3ECE2416A77A22B14","319","_phase17_review_pack\20260806_120548\payload\02_analysis\environment.yml"
"06893F70310C018EA5B4EC062CC68CFC75B2C2F2A4E9ADB3ECE2416A77A22B14","319","_phase17_review_pack\20260806_120548\payload\04_submission\package_genome_medicine_2026-07-31\analysis_code\environment.yml"
"06893F70310C018EA5B4EC062CC68CFC75B2C2F2A4E9ADB3ECE2416A77A22B14","319","02_analysis\environment.yml"
"06893F70310C018EA5B4EC062CC68CFC75B2C2F2A4E9ADB3ECE2416A77A22B14","319","04_submission\package_genome_medicine_2026-07-27\analysis_code\environment.yml"
"06893F70310C018EA5B4EC062CC68CFC75B2C2F2A4E9ADB3ECE2416A77A22B14","319","04_submission\package_genome_medicine_2026-07-31\analysis_code\environment.yml"
"070378C77B72FA648AC748FBADEA7B6329DA41FEFF982078F2A823DD74FDE1EC","424276","_phase17_review_pack\20260806_120548\payload\03_results\gse163121_bcell_validation\figures\figure6_gse163121_independent_bcell_validation.png"
"070378C77B72FA648AC748FBADEA7B6329DA41FEFF982078F2A823DD74FDE1EC","424276","_phase17_review_pack\20260806_120548\payload\04_submission\advisor_report_2026-07-31\selected_results\figures_supplementary\Supplementary_Figure_S3_GSE163121_directional_validation.png"
"070378C77B72FA648AC748FBADEA7B6329DA41FEFF982078F2A823DD74FDE1EC","424276","_phase17_review_pack\20260806_120548\payload\04_submission\package_genome_medicine_2026-07-31\figures_supplementary\Supplementary_Figure_S3_GSE163121_directional_validation.png"
"070378C77B72FA648AC748FBADEA7B6329DA41FEFF982078F2A823DD74FDE1EC","424276","03_results\gse163121_bcell_validation\figures\figure6_gse163121_independent_bcell_validation.png"
"070378C77B72FA648AC748FBADEA7B6329DA41FEFF982078F2A823DD74FDE1EC","424276","04_submission\_build_advisor_report_2026-07-31\assets\supplement3_full.png"
"070378C77B72FA648AC748FBADEA7B6329DA41FEFF982078F2A823DD74FDE1EC","424276","04_submission\advisor_report_2026-07-31\selected_results\figures_supplementary\Supplementary_Figure_S3_GSE163121_directional_validation.png"
"070378C77B72FA648AC748FBADEA7B6329DA41FEFF982078F2A823DD74FDE1EC","424276","04_submission\package_genome_medicine_2026-07-27\figures_supplementary\Supplementary_Figure_S3_GSE163121_directional_validation.png"
"070378C77B72FA648AC748FBADEA7B6329DA41FEFF982078F2A823DD74FDE1EC","424276","04_submission\package_genome_medicine_2026-07-31\figures_supplementary\Supplementary_Figure_S3_GSE163121_directional_validation.png"
"070F398A96BD145561DB0449C4A8456DA56012D1A393DEB95641B3988B8F8246","3631","04_submission\package_genome_medicine_gateC8BRP_journal_facing_prefreeze_2026-08-25\internal_qc\FINAL_AUDIT.md"
"070F398A96BD145561DB0449C4A8456DA56012D1A393DEB95641B3988B8F8246","3631","phase17_v7\gateC8BRP\20260825_journal_facing_prefreeze\05_GATE_C8BRP_FINAL_AUDIT.md"
"072AD80D02B7B110F22303B6667510A13A1279C78171FE308EA7C67024F60A54","84468","04_submission\package_genome_medicine_gateC8BRP_journal_facing_prefreeze_2026-08-25\internal_qc\wps_render_cover_letter\Cover_Letter_WPS.pdf"
"072AD80D02B7B110F22303B6667510A13A1279C78171FE308EA7C67024F60A54","84468","04_submission\package_genome_medicine_gateC8BRP_journal_facing_prefreeze_2026-08-25\review_copies\Cover_Letter_WPS.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","04_submission\journal_submission_im\figures_supplementary\Supplementary_Figure_S6_external_validation_diagnostics.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","04_submission\journal_submission_im\portal_upload_optional\Supplementary_Figure_S6.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","04_submission\journal_submission\figures_supplementary\Supplementary_Figure_S6_external_validation_diagnostics.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","04_submission\journal_submission\portal_upload_optional\Supplementary_Figure_S6.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","04_submission\package_genome_medicine_gateC8B_editorial_preflight_2026-08-21\figures_supplementary\Supplementary_Figure_S6_external_validation_diagnostics.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","04_submission\package_genome_medicine_gateC8BR_release_portability_preflight_2026-08-25\figures_supplementary\Supplementary_Figure_S6_external_validation_diagnostics.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","04_submission\package_genome_medicine_gateC8BRF_author_release_2026-08-25\figures_supplementary\Supplementary_Figure_S6_external_validation_diagnostics.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","04_submission\package_genome_medicine_gateC8BRF_author_release_2026-08-25\portal_upload_optional\Supplementary_Figure_S6.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","04_submission\package_genome_medicine_gateC8BRP_journal_facing_prefreeze_2026-08-25\figures_supplementary\Supplementary_Figure_S6_external_validation_diagnostics.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","04_submission\package_genome_medicine_gateC8BRP_journal_facing_prefreeze_2026-08-25\portal_upload_preview\Supplementary_Figure_S6.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","04_submission\package_genome_medicine_gateC8S_2026-08-21\figures_supplementary\Supplementary_Figure_S6_external_validation_diagnostics.pdf"
"07591A5E90F73475035FA4E5B8AA927FD3BD788D82CA47B0A669D38E3F444EEA","48118","phase17_v7\gateC8S\20260821_supplementary_traceability_freeze\supplementary_figures\Supplementary_Figure_S6_external_validation_diagnostics.pdf"
"07BC614A87DE48CF154A551F4986D09AB0F24ADF31291929501B8172D1D7DBFA","516440","04_submission\.docx_render_qa\Supplementary_Information\contact_input\final-page-02.png"
"07BC614A87DE48CF154A551F4986D09AB0F24ADF31291929501B8172D1D7DBFA","516440","04_submission\.docx_render_qa\Supplementary_Information\page-2.png"
"07CC66306F879DF7B20572B94A39E4677D508E4B5365ADF0295131EBD0E0584A","549643","phase17_v7\gateC4B\20260815_edger_transcription\05_gene_results\primary_base_gene_results.csv.gz"
"07CC66306F879DF7B20572B94A39E4677D508E4B5365ADF0295131EBD0E0584A","549643","phase17_v7\gateC8S\20260821_supplementary_traceability_freeze\full_statistical_results\gene_level_results\GSE174188\primary_base_gene_results.csv.gz"
"089F22C6F81D0D4122B64DE9E003CCDAB6614B8D9AA1D12A44CA2DAD48A4D9F1","64274","_phase17_review_pack\20260806_120548\payload\03_results\supplement_qc_flagged_cluster\figures\supplement_qc_flagged_cluster.pdf"
"089F22C6F81D0D4122B64DE9E003CCDAB6614B8D9AA1D12A44CA2DAD48A4D9F1","64274","_phase17_review_pack\20260806_120548\payload\04_submission\advisor_report_2026-07-31\selected_results\figures_supplementary\Supplementary_Figure_S1_flagged_cluster_qc.pdf"
"089F22C6F81D0D4122B64DE9E003CCDAB6614B8D9AA1D12A44CA2DAD48A4D9F1","64274","_phase17_review_pack\20260806_120548\payload\04_submission\package_genome_medicine_2026-07-31\figures_supplementary\Supplementary_Figure_S1_flagged_cluster_qc.pdf"
"089F22C6F81D0D4122B64DE9E003CCDAB6614B8D9AA1D12A44CA2DAD48A4D9F1","64274","03_results\supplement_qc_flagged_cluster\figures\supplement_qc_flagged_cluster.pdf"
"089F22C6F81D0D4122B64DE9E003CCDAB6614B8D9AA1D12A44CA2DAD48A4D9F1","64274","04_submission\advisor_report_2026-07-31\selected_results\figures_supplementary\Supplementary_Figure_S1_flagged_cluster_qc.pdf"
"089F22C6F81D0D4122B64DE9E003CCDAB6614B8D9AA1D12A44CA2DAD48A4D9F1","64274","04_submission\package_genome_medicine_2026-07-27\figures_supplementary\Supplementary_Figure_S1_flagged_cluster_qc.pdf"
"089F22C6F81D0D4122B64DE9E003CCDAB6614B8D9AA1D12A44CA2DAD48A4D9F1","64274","04_submission\package_genome_medicine_2026-07-31\figures_supplementary\Supplementary_Figure_S1_flagged_cluster_qc.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","04_submission\journal_submission_im\figures_supplementary\Supplementary_Figure_S1_source_integrity_qc.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","04_submission\journal_submission_im\portal_upload_optional\Supplementary_Figure_S1.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","04_submission\journal_submission\figures_supplementary\Supplementary_Figure_S1_source_integrity_qc.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","04_submission\journal_submission\portal_upload_optional\Supplementary_Figure_S1.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","04_submission\package_genome_medicine_gateC8B_editorial_preflight_2026-08-21\figures_supplementary\Supplementary_Figure_S1_source_integrity_qc.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","04_submission\package_genome_medicine_gateC8BR_release_portability_preflight_2026-08-25\figures_supplementary\Supplementary_Figure_S1_source_integrity_qc.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","04_submission\package_genome_medicine_gateC8BRF_author_release_2026-08-25\figures_supplementary\Supplementary_Figure_S1_source_integrity_qc.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","04_submission\package_genome_medicine_gateC8BRF_author_release_2026-08-25\portal_upload_optional\Supplementary_Figure_S1.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","04_submission\package_genome_medicine_gateC8BRP_journal_facing_prefreeze_2026-08-25\figures_supplementary\Supplementary_Figure_S1_source_integrity_qc.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","04_submission\package_genome_medicine_gateC8BRP_journal_facing_prefreeze_2026-08-25\portal_upload_preview\Supplementary_Figure_S1.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","04_submission\package_genome_medicine_gateC8S_2026-08-21\figures_supplementary\Supplementary_Figure_S1_source_integrity_qc.pdf"
"091483972D0801DD8B6970B536940B16F906DF2D24A2916A9164CB04CD085B91","51533","phase17_v7\gateC8S\20260821_supplementary_traceability_freeze\supplementary_figures\Supplementary_Figure_S1_source_integrity_qc.pdf"
"091F23E9122CEB880D332538A789C577D38982B8CAD641A20F8962F7C8BF52C0","263","_phase17_review_pack\20260806_120548\payload\03_results\README.md"
"091F23E9122CEB880D332538A789C577D38982B8CAD641A20F8962F7C8BF52C0","263","03_results\README.md"
"094E18A6194E40E50E99F304D0EA0E76EA653B662E616CBD38D70C489687F81F","590529","_phase17_review_pack\20260806_120548\payload\03_results\figure5_literature_signature_validation\figures\figure5_v1_literature_signature_validation.png"
"094E18A6194E40E50E99F304D0EA0E76EA653B662E616CBD38D70C489687F81F","590529","_phase17_review_pack\20260806_120548\payload\04_submission\advisor_report_2026-07-31\selected_results\figures_main\Figure_5_literature_signature_validation.png"
"094E18A6194E40E50E99F304D0EA0E76EA653B662E616CBD38D70C489687F81F","590529","_phase17_review_pack\20260806_120548\payload\04_submission\package_genome_medicine_2026-07-31\figures_main\Figure_5_literature_signature_validation.png"
"094E18A6194E40E50E99F304D0EA0E76EA653B662E616CBD38D70C489687F81F","590529","03_results\figure5_literature_signature_validation\figures\figure5_v1_literature_signature_validation.png"
"094E18A6194E40E50E99F304D0EA0E76EA653B662E616CBD38D70C489687F81F","590529","04_submission\_build_advisor_report_2026-07-31\assets\figure5_full.png"
"094E18A6194E40E50E99F304D0EA0E76EA653B662E616CBD38D70C489687F81F","590529","04_submission\advisor_report_2026-07-31\selected_results\figures_main\Figure_5_literature_signature_validation.png"
"094E18A6194E40E50E99F304D0EA0E76EA653B662E616CBD38D70C489687F81F","590529","04_submission\package_genome_medicine_2026-07-27\figures_main\Figure_5_literature_signature_validation.png"
"094E18A6194E40E50E99F304D0EA0E76EA653B662E616CBD38D70C489687F81F","590529","04_submission\package_genome_medicine_2026-07-31\figures_main\Figure_5_literature_signature_validation.png"
"09F188BA58690F3FFF60558FF311CD66B4200AF90105D30FDC01FA98149C99E8","119570","04_submission\document_qc\research_proposal_v14_2026-08-10_corrected_qc_r2\page-1.png"
"09F188BA58690F3FFF60558FF311CD66B4200AF90105D30FDC01FA98149C99E8","119570","04_submission\document_qc\research_proposal_v14_2026-08-10_corrected_qc\page-1.png"
"09F188BA58690F3FFF60558FF311CD66B4200AF90105D30FDC01FA98149C99E8","119570","04_submission\document_qc\research_proposal_v14_2026-08-10_external_audit_integrated_qc_r2\page-1.png"
"09F188BA58690F3FFF60558FF311CD66B4200AF90105D30FDC01FA98149C99E8","119570","04_submission\document_qc\research_proposal_v14_2026-08-10_external_audit_integrated_qc\page-1.png"
"09F188BA58690F3FFF60558FF311CD66B4200AF90105D30FDC01FA98149C99E8","119570","04_submission\document_qc\research_proposal_v14_2026-08-10_final_qc\page-1.png"
"09F188BA58690F3FFF60558FF311CD66B4200AF90105D30FDC01FA98149C99E8","119570","04_submission\document_qc\research_proposal_v14_2026-08-10_final\page-1.png"
"09F4AC423775D5A68045E1F86DBE7AEFFE381B0B0FFB8D8CBF10E3BE7955F50F","23889","_phase17_review_pack\20260806_120548\payload\02_analysis\scripts\22_covariate_sensitivity_abundance.py"
"09F4AC423775D5A68045E1F86DBE7AEFFE381B0B0FFB8D8CBF10E3BE7955F50F","23889","_phase17_review_pack\20260806_120548\payload\04_submission\package_genome_medicine_2026-07-31\analysis_code\scripts\22_covariate_sensitivity_abundance.py"
"09F4AC423775D5A68045E1F86DBE7AEFFE381B0B0FFB8D8CBF10E3BE7955F50F","23889","02_analysis\scripts\22_covariate_sensitivity_abundance.py"
"09F4AC423775D5A68045E1F86DBE7AEFFE381B0B0FFB8D8CBF10E3BE7955F50F","23889","04_submission\package_genome_medicine_2026-07-27\analysis_code\scripts\22_covariate_sensitivity_abundance.py"
"09F4AC423775D5A68045E1F86DBE7AEFFE381B0B0FFB8D8CBF10E3BE7955F50F","23889","04_submission\package_genome_medicine_2026-07-31\analysis_code\scripts\22_covariate_sensitivity_abundance.py"
"0A3D8CFB15736ADE417F53C848A16299EC218054A819CA880DE0C459D773A5EA","55135","04_submission\package_genome_medicine_gateC8B_editorial_preflight_2026-08-21\figures\Figure3_gse174188_bconv_transcription.pdf"
