tier,object,scientific_decision,artwork_action,rationale
Supplementary,Supplementary Figure S1c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S1d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S2a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S2b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S2c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S2d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S3a,KEEP,KEEP_EXACT,Already role-aware and retained byte-identically.
Supplementary,Supplementary Figure S3b,KEEP,KEEP_EXACT,Already role-aware and retained byte-identically.
Supplementary,Supplementary Figure S4a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S4b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S4c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S4d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S5a,KEEP,KEEP_EXACT,Already role-aware and retained byte-identically.
Supplementary,Supplementary Figure S5b,KEEP,KEEP_EXACT,Already role-aware and retained byte-identically.
Supplementary,Supplementary Figure S5c,KEEP,KEEP_EXACT,Already role-aware and retained byte-identically.
Supplementary,Supplementary Figure S6a,KEEP,KEEP_EXACT,Already role-aware and retained byte-identically.
Supplementary,Supplementary Figure S6b,KEEP,KEEP_EXACT,Already role-aware and retained byte-identically.
Supplementary,Supplementary Figure S6c,KEEP,KEEP_EXACT,Already role-aware and retained byte-identically.
Supplementary,Supplementary Figure S6d,KEEP,KEEP_EXACT,Already role-aware and retained byte-identically.
Supplementary,Supplementary Figure S7a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S7b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S7c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S7d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S8a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S8b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S8c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S8d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S9a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S9b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S9c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S9d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S9e,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S10a,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S10b,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S10c,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
Supplementary,Supplementary Figure S10d,KEEP,SOURCE_REDRAW_TYPOGRAPHY_ONLY,Scientific evidence ownership retained; role-specific typography restored.
