old_display_id,new_display_id,object_type,old_relative_path,new_relative_path,bytes,old_sha256,new_sha256,byte_identical
S6,S7,png,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S6_replication_robustness_diagnostics.png,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S7_replication_robustness_diagnostics.png,400006,EC2118003D6D459831D118C53B318448B936E806C23E44D87A125EAEDA53F2D0,EC2118003D6D459831D118C53B318448B936E806C23E44D87A125EAEDA53F2D0,True
S7,S9,pdf,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S7_regulator_correlation_sensitivity.pdf,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S9_regulator_correlation_sensitivity.pdf,48574,3DCE41FF9A20F17D5D4071E8C6FAC7E32BC0F63272F19646EFE1046612C76417,3DCE41FF9A20F17D5D4071E8C6FAC7E32BC0F63272F19646EFE1046612C76417,True
S7,S9,png,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S7_regulator_correlation_sensitivity.png,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S9_regulator_correlation_sensitivity.png,436673,69112DAB612AF5E97CED97D3899624D30CAFDC02C2D127431C71000C1E4B3D44,69112DAB612AF5E97CED97D3899624D30CAFDC02C2D127431C71000C1E4B3D44,True
S8,S10,pdf,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S8_overlap_depletion.pdf,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S10_overlap_depletion.pdf,48801,2566E12D7F819E105506653173D43DBB0921F4D5C63EDE0C9D98099A76D3B75D,2566E12D7F819E105506653173D43DBB0921F4D5C63EDE0C9D98099A76D3B75D,True
S8,S10,png,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S8_overlap_depletion.png,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S10_overlap_depletion.png,565826,51B0218546AE23D448B7767C7F620AAA7AA5A84F9FD9749C5320DE7F1F00EB31,51B0218546AE23D448B7767C7F620AAA7AA5A84F9FD9749C5320DE7F1F00EB31,True
S9,S4,pdf,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S9_identity_boundary_and_propagation.pdf,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S4_identity_boundary_and_propagation.pdf,52726,A6CF24AEF64220251A2B97EE35446875CEFD5C7AD59F985231E78D7FCD2DB1EC,A6CF24AEF64220251A2B97EE35446875CEFD5C7AD59F985231E78D7FCD2DB1EC,True
S9,S4,png,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/figures/Supplementary_Figure_S9_identity_boundary_and_propagation.png,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/figures/Supplementary_Figure_S4_identity_boundary_and_propagation.png,591102,F6857DA2B61D27E8E2EB1DFE98703C16A83F5D72B03AEF785CE9B9E87BDF7F5C,F6857DA2B61D27E8E2EB1DFE98703C16A83F5D72B03AEF785CE9B9E87BDF7F5C,True
S10,S8,csv,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/source_data/Supplementary_Figure_S10_source_data.csv,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/source_data/Supplementary_Figure_S8_source_data.csv,2069,FF4309EBAF761A0563F018AE1BE07212EF2CB2241E79DF12C374BCB1426A60FF,FF4309EBAF761A0563F018AE1BE07212EF2CB2241E79DF12C374BCB1426A60FF,True
S1,S1,csv,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/source_data/Supplementary_Figure_S1_source_data.csv,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/source_data/Supplementary_Figure_S1_source_data.csv,15014,A140D1D900A3EA869551097146AFFD3872BC7AC78E9E9712E4BDAC834A57CB68,A140D1D900A3EA869551097146AFFD3872BC7AC78E9E9712E4BDAC834A57CB68,True
S2,S2,csv,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/source_data/Supplementary_Figure_S2_source_data.csv,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/source_data/Supplementary_Figure_S2_source_data.csv,26506,E46FE5B33B11D45319DD80C3D669AEEB83F2517095CD0C1FD5EEFA1F57C58731,E46FE5B33B11D45319DD80C3D669AEEB83F2517095CD0C1FD5EEFA1F57C58731,True
S3,S3,csv,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/source_data/Supplementary_Figure_S3_source_data.csv,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/source_data/Supplementary_Figure_S3_source_data.csv,4375,133E973C2753F4946A24739C049308152299A915A3FC6754B30AD0521F979C96,133E973C2753F4946A24739C049308152299A915A3FC6754B30AD0521F979C96,True
S4,S5,csv,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/source_data/Supplementary_Figure_S4_source_data.csv,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/source_data/Supplementary_Figure_S5_source_data.csv,5599,7BA2660E5A50ADCF28407BCC92A91C791576DD69A9A1ABA9618DEB045C3A4E19,7BA2660E5A50ADCF28407BCC92A91C791576DD69A9A1ABA9618DEB045C3A4E19,True
S5,S6,csv,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/source_data/Supplementary_Figure_S5_source_data.csv,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/source_data/Supplementary_Figure_S6_source_data.csv,4113,F6682D636C1FF3A1784E0B9E8AEFF5C5D1BB075176312E87FCB938F65C4DA897,F6682D636C1FF3A1784E0B9E8AEFF5C5D1BB075176312E87FCB938F65C4DA897,True
S6,S7,csv,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/source_data/Supplementary_Figure_S6_source_data.csv,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/source_data/Supplementary_Figure_S7_source_data.csv,6249,A1D1DCBF9D20BA01D0022D4DA0F73A618776D34A687E764F18AB83439204DBF6,A1D1DCBF9D20BA01D0022D4DA0F73A618776D34A687E764F18AB83439204DBF6,True
S7,S9,csv,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/source_data/Supplementary_Figure_S7_source_data.csv,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/source_data/Supplementary_Figure_S9_source_data.csv,2110,D92140A17B96E6B77F5EEBF322A5D77A5E6F2132EDD54CC9C3E73521E5352CA3,D92140A17B96E6B77F5EEBF322A5D77A5E6F2132EDD54CC9C3E73521E5352CA3,True
S8,S10,csv,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/source_data/Supplementary_Figure_S8_source_data.csv,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/source_data/Supplementary_Figure_S10_source_data.csv,8005,26A3F90E3165D8928874F278384B2587CB549DD4FFDE93440AAC4CEEAE06A9A2,26A3F90E3165D8928874F278384B2587CB549DD4FFDE93440AAC4CEEAE06A9A2,True
S9,S4,csv,phase17_v7/npj_sba_supplementary_table_reader_path/20260901_s4_reader_path_refreeze/figures/source_data/Supplementary_Figure_S9_source_data.csv,phase17_v7/npj_sba_supplementary_citation_refreeze/20260901_first_citation_order/figures/source_data/Supplementary_Figure_S4_source_data.csv,18720,46EE840F86CA33AA4F5FCE0A37EEFCB4DB23831533BBFA20400BAE50744F5D42,46EE840F86CA33AA4F5FCE0A37EEFCB4DB23831533BBFA20400BAE50744F5D42,True
