program_id,program_label,analysis_family,publication_role,sign,gene_symbol,ordinal,provenance,present,matching_features
ACTIVATION_STRESS,Activation/immediate-early response,secondary_contextual,context and technical-stress sensitivity,1,JUNB,5,pre-existing disease-blind marker program,True,1
ACTIVATION_STRESS,Activation/immediate-early response,secondary_contextual,context and technical-stress sensitivity,1,FOS,6,pre-existing disease-blind marker program,True,1
ACTIVATION_STRESS,Activation/immediate-early response,secondary_contextual,context and technical-stress sensitivity,1,FOSB,7,pre-existing disease-blind marker program,True,1
ACTIVATION_STRESS,Activation/immediate-early response,secondary_contextual,context and technical-stress sensitivity,1,DUSP1,8,pre-existing disease-blind marker program,True,1
ACTIVATION_STRESS,Activation/immediate-early response,secondary_contextual,context and technical-stress sensitivity,1,NR4A2,9,pre-existing disease-blind marker program,True,1
TLR7_INNATE,TLR7/innate-sensing context,secondary_contextual,mechanistic context only,1,TLR7,1,pre-existing citation audit; boundary context,True,1
TLR7_INNATE,TLR7/innate-sensing context,secondary_contextual,mechanistic context only,1,MYD88,2,pre-existing citation audit; boundary context,True,1
TLR7_INNATE,TLR7/innate-sensing context,secondary_contextual,mechanistic context only,1,IRAK1,3,pre-existing citation audit; boundary context,True,1
TLR7_INNATE,TLR7/innate-sensing context,secondary_contextual,mechanistic context only,1,IRF7,4,pre-existing citation audit; boundary context,True,1
TLR7_INNATE,TLR7/innate-sensing context,secondary_contextual,mechanistic context only,1,NFKB1,5,pre-existing citation audit; boundary context,True,1
TLR7_INNATE,TLR7/innate-sensing context,secondary_contextual,mechanistic context only,1,RELA,6,pre-existing citation audit; boundary context,True,1
TLR7_INNATE,TLR7/innate-sensing context,secondary_contextual,mechanistic context only,1,IFIH1,7,pre-existing citation audit; boundary context,True,1
TLR7_INNATE,TLR7/innate-sensing context,secondary_contextual,mechanistic context only,1,FTO,8,pre-existing citation audit; boundary context,True,1
TLR7_INNATE,TLR7/innate-sensing context,secondary_contextual,mechanistic context only,1,ATP6V1G1,9,pre-existing citation audit; boundary context,True,1
PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,1,PPBP,1,disease-blind dataset-specific ranked-marker QC,True,1
PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,1,PF4,2,disease-blind dataset-specific ranked-marker QC,True,1
PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,1,NRGN,3,disease-blind dataset-specific ranked-marker QC,True,1
PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,1,TUBB1,4,disease-blind dataset-specific ranked-marker QC,True,1
PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,1,RGS18,5,disease-blind dataset-specific ranked-marker QC,True,1
PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,1,CAVIN2,6,disease-blind dataset-specific ranked-marker QC,False,0
PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,1,GNG11,7,disease-blind dataset-specific ranked-marker QC,True,1
PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,1,SPARC,8,disease-blind dataset-specific ranked-marker QC,True,1
PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,1,MYL9,9,disease-blind dataset-specific ranked-marker QC,True,1
PLATELET_AMBIENT_QC,Platelet/ambient overlay,qc_only,sensitivity/QC only; never a B-cell identity,1,CLU,10,disease-blind dataset-specific ranked-marker QC,True,1
ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,1,MZB1,1,C2B4 required ASC panel plus pre-existing control signature,True,1
ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,1,XBP1,2,C2B4 required ASC panel plus pre-existing control signature,True,1
ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,1,PRDM1,3,C2B4 required ASC panel plus pre-existing control signature,True,1
ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,1,JCHAIN,4,C2B4 required ASC panel plus pre-existing control signature,False,0
ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,1,SDC1,5,C2B4 required ASC panel plus pre-existing control signature,True,1
ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,1,IRF4,6,C2B4 required ASC panel plus pre-existing control signature,True,1
ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,1,TNFRSF17,7,C2B4 required ASC panel plus pre-existing control signature,True,1
ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,1,DERL3,8,C2B4 required ASC panel plus pre-existing control signature,True,1
ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,1,FKBP11,9,C2B4 required ASC panel plus pre-existing control signature,True,1
ASC_UPR_IDENTITY_QC,ASC/UPR identity control,identity_qc_only,B_ASC identity QC; not a new outcome-informed state,1,HSP90B1,10,C2B4 required ASC panel plus pre-existing control signature,True,1
PAN_B_IDENTITY_QC,Pan-B identity control,identity_qc_only,B-lineage extraction QC only,1,MS4A1,1,pre-existing B-lineage extraction QC,True,1
PAN_B_IDENTITY_QC,Pan-B identity control,identity_qc_only,B-lineage extraction QC only,1,CD79A,2,pre-existing B-lineage extraction QC,True,1
PAN_B_IDENTITY_QC,Pan-B identity control,identity_qc_only,B-lineage extraction QC only,1,CD79B,3,pre-existing B-lineage extraction QC,True,1
PAN_B_IDENTITY_QC,Pan-B identity control,identity_qc_only,B-lineage extraction QC only,1,CD74,4,pre-existing B-lineage extraction QC,True,1
PAN_B_IDENTITY_QC,Pan-B identity control,identity_qc_only,B-lineage extraction QC only,1,CD19,5,pre-existing B-lineage extraction QC,True,1
